x_axis,y_axis
-20.218975,-119.607126
-20.152465,-119.607126
-20.086275,-119.607126
-20.086275,-119.607126
-20.021131,-119.607126
-20.021131,-119.607126
-19.954635,-119.607126
-19.954635,-119.607126
-19.887066,-119.607126
-19.887066,-119.607126
-19.817579,-119.607126
-19.817579,-119.607126
-19.746648,-119.607126
-19.746648,-119.607126
-19.682135,-119.607126
-19.682135,-119.607126
-19.611701,-119.607126
-19.611701,-119.607126
-19.544241,-119.607126
-19.544241,-119.607126
-19.477238,-119.607126
-19.477238,-119.607126
-18.869967,-119.586556
67.10829,31.537222
20.097564,-119.663003
21.822684,-119.663003
43.30925,49.89191
-73.62925,-118.857087
-71.19499,-118.857087
32.247334,-119.663003
33.905503,-119.663003
35.557067,-119.663003
37.259183,-119.663003
37.485721,-119.663003
37.706876,-119.663003
37.926868,-119.663003
38.161384,-119.663003
-47.645268,-118.857087
38.392349,-119.663003
-45.049336,-117.479418
38.615163,-119.663003
38.853937,-119.663003
39.087057,-119.663003
17.317833,61.09851
39.312374,-119.663003
39.538361,-119.663003
39.767043,-119.663003
39.988882,-119.663003
40.223312,-119.663003
-24.470214,-106.558007
-21.822369,-105.152787
-20.59571,-99.922968
-21.624145,-98.913413
-5.679979,63.20775
42.684509,-118.507727
-31.583142,61.659733
71.97006,120.582927
-46.272336,60.781882
67.855406,120.582927
-38.705324,-77.140298
25.07214,120.584747
16.918697,120.584747
66.465092,-104.487093
-75.807396,59.016817
-75.807396,59.016817
-71.755563,-120.918389
-71.120001,-120.918389
-86.917045,58.352886
-70.479561,-120.918389
-22.454001,120.586358
79.884002,-96.040079
-25.619162,-74.452176
-16.036901,-77.839996
110.957712,91.728138
5.492343,-77.663213
19.297208,-73.197418
72.521635,108.081155
31.107035,-67.648865
114.871722,-72.487829
49.45587,116.75701
45.782694,-59.378731
29.112613,116.81078
24.955948,116.81078
24.955948,116.81078
20.808337,116.81078
57.529321,-51.904078
66.297401,-45.296942
-20.083512,116.81078
-24.329085,116.81078
-29.108825,116.81078
90.680263,-25.919597
92.760452,-24.113754
100.890132,-17.056254
-25.478089,-115.743079
-22.114384,-114.188398
71.229382,-121.235189
69.487978,-121.235189
88.819567,113.183984
75.378839,115.399231
71.1666,115.399231
58.337422,115.399231
54.141726,115.399231
29.238859,115.399231
25.528257,115.399231
25.528257,115.399231
22.071612,115.399231
